_id_app,timestamp_app,device_id_app,activity_name_app,activity_type_app,confidence_app,activities_app,Date_app,Time_app,_id,timestamp,device_id,double_values_0,double_values_1,double_values_2,accuracy,Date,Time
20739,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,100,"[{""activity"":""still"",""confidence"":100}]",6/11/18,16:23:46,285285946,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.408401489,-7.07359314,-0.806335449,2,6/11/18,16:07:47
20740,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,100,"[{""activity"":""still"",""confidence"":100}]",6/11/18,16:23:51,285285947,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,2.504867554,-9.18057251,-1.232711792,2,6/11/18,16:07:50
20741,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,100,"[{""activity"":""still"",""confidence"":100}]",6/11/18,16:23:55,285285948,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.127105713,-7.682983398,-0.656051636,2,6/11/18,16:07:53
20742,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,100,"[{""activity"":""still"",""confidence"":100}]",6/11/18,16:24:00,285285949,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.092071533,-5.264572144,5.636291504,2,6/11/18,16:07:56
20743,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,100,"[{""activity"":""still"",""confidence"":100}]",6/11/18,16:24:04,285285950,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.571609497,-7.681838989,-1.462524414,2,6/11/18,16:07:58
20744,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,100,"[{""activity"":""still"",""confidence"":100}]",6/11/18,16:24:09,285285951,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.543899536,-8.053268433,-1.154312134,2,6/11/18,16:08:01
20745,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,100,"[{""activity"":""still"",""confidence"":100}]",6/11/18,16:24:13,285285952,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.702148438,-8.563537598,-2.412384033,2,6/11/18,16:08:03
20746,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,100,"[{""activity"":""still"",""confidence"":100}]",6/11/18,16:24:18,285285953,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.197647095,-7.605636597,-0.627792358,2,6/11/18,16:08:06
20747,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,100,"[{""activity"":""still"",""confidence"":100}]",6/11/18,16:24:22,285285954,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.108047485,-7.659698486,-0.486526489,2,6/11/18,16:08:08
20748,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,100,"[{""activity"":""still"",""confidence"":100}]",6/11/18,16:24:27,285285955,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.706115723,-7.216156006,-1.406005859,2,6/11/18,16:08:11
