Device_ID,mean_magnitude,std_magnitude,median_magnitude,min_magnitude,max_magnitude,num_steps,skewness,kurt,ratio,bandpower,snr,thd
p15a,0.9902443905808211,0.07449112896523007,1.005366468141016,0.8360698626632849,1.0765115582387423,1,0.0,-3.0,0.0,0.005548928294514536,-1.7613933022650528e-15,0.9238865535344201
p16b,0.9949302009661359,0.0692066037597375,1.020016545026399,0.9006148183841561,1.0742987414401346,1,0.0,-3.0,0.0,0.0047895540039573125,0.0,1.0000000000000002
p16c,1.0274123325663584,0.25503174488100744,0.9982679772351399,0.579251642223255,1.8465490490402863,1,0.0,-3.0,0.0,0.06504119089705127,1.6516833117644665e-15,0.809387177325163
p17a,1.0819094370654672,0.3513825237570743,1.0341941754359278,0.3172094553891319,2.2836015829728535,2,0.0,-3.0,0.6606148536534536,0.12346967800189086,-6.443075719508291e-16,0.9124341806098643
p17b,0.9168354170860016,0.1940434960168706,0.9227319802570517,0.4280015084596282,1.5005131154467701,2,0.0,-3.0,0.4485530565296723,0.0376528783464493,-2.3658469884638067e-15,0.8018593307990702
p18b,1.081021424122217,0.32365348768253016,1.0034623123496764,0.5285610097548268,2.434821004905607,1,0.0,-3.0,0.0,0.10475158008906567,1.7324661115830165e-16,0.9122707769757002
p20a,1.1355605030529223,0.2686805203691124,1.1066205200801957,0.2851297528713142,4.014888720453998,7,0.0,-3.0,0.8053148399440694,0.07218922202581707,2.5171878712382243e-15,0.9780652656913529
p21a,1.048725251235854,0.2966649106490751,1.0020158443047122,0.19874816072991963,3.3144165694489143,5,0.0,-3.0,0.5282860043342265,0.08801006921042377,3.226964916442499e-15,0.9714906187622404
p21b,1.093670629581012,0.5056061058753867,1.0047909330397924,0.07733886942974016,9.000616147525236,3,0.0,-3.0,1.0622255430023066,0.25563753429847225,-2.2967344913301087e-16,0.9809091119698938
p21c,1.12527237504257,0.47701812555531464,1.013528121487504,0.04849919151401617,5.360865865948788,15,0.0,-3.0,0.6227820073478643,0.2275462921083052,1.7236846414111421e-16,0.9936708151636917
p25a,1.2167057271657542,0.6177449714651161,1.0217743307299105,0.1696941175716032,5.942947658589054,134,0.0,-3.0,1.2447035910156854,0.3816088497704344,1.9123053581105113e-14,0.9978205335841146
p25b,1.175302940989127,0.5889818860312377,1.0375488619831517,0.06731776712324047,6.8825605676136155,16,0.0,-3.0,1.6703005289853718,0.34689966207294043,1.08433416739291e-13,0.979433736467016
p26b,1.0677094332301091,0.2496004098200939,1.0346594274745629,0.3115105779528754,2.163829487788445,6,0.0,-3.0,1.2548736613486442,0.06230036458235883,-9.098696963341174e-16,0.9702083716134501
