_id,timestamp,device_id,activity_name,activity_type,confidence,activities
169,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,1,2,96,"[{""activity"":""on_foot"",""confidence"":96},{""activity"":""walking"",""confidence"":96},{""activity"":""unknown"",""confidence"":2},{""activity"":""running"",""confidence"":2}]"
170,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,1,2,88,"[{""activity"":""on_foot"",""confidence"":88},{""activity"":""walking"",""confidence"":88},{""activity"":""running"",""confidence"":10},{""activity"":""unknown"",""confidence"":2}]"
171,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,0,2,89,"[{""activity"":""on_foot"",""confidence"":89},{""activity"":""walking"",""confidence"":89},{""activity"":""running"",""confidence"":9},{""activity"":""unknown"",""confidence"":2}]"
172,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,0,2,91,"[{""activity"":""on_foot"",""confidence"":91},{""activity"":""walking"",""confidence"":91},{""activity"":""unknown"",""confidence"":3},{""activity"":""running"",""confidence"":3},{""activity"":""in_vehicle"",""confidence"":1},{""activity"":""on_bicycle"",""confidence"":1},{""activity"":""still"",""confidence"":1}]"
173,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,0,2,98,"[{""activity"":""on_foot"",""confidence"":98},{""activity"":""walking"",""confidence"":98},{""activity"":""unknown"",""confidence"":2}]"
174,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,0,2,99,"[{""activity"":""on_foot"",""confidence"":99},{""activity"":""walking"",""confidence"":99},{""activity"":""unknown"",""confidence"":1}]"
175,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,0,2,98,"[{""activity"":""on_foot"",""confidence"":98},{""activity"":""walking"",""confidence"":98},{""activity"":""unknown"",""confidence"":2}]"
176,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,0,2,98,"[{""activity"":""on_foot"",""confidence"":98},{""activity"":""walking"",""confidence"":98},{""activity"":""unknown"",""confidence"":2}]"
177,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,0,2,77,"[{""activity"":""on_foot"",""confidence"":77},{""activity"":""walking"",""confidence"":77},{""activity"":""running"",""confidence"":20},{""activity"":""unknown"",""confidence"":3}]"
178,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,0,2,84,"[{""activity"":""on_foot"",""confidence"":84},{""activity"":""walking"",""confidence"":84},{""activity"":""running"",""confidence"":11},{""activity"":""unknown"",""confidence"":3},{""activity"":""in_vehicle"",""confidence"":1},{""activity"":""still"",""confidence"":1}]"
179,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,0,2,54,"[{""activity"":""on_foot"",""confidence"":54},{""activity"":""walking"",""confidence"":54},{""activity"":""unknown"",""confidence"":22},{""activity"":""in_vehicle"",""confidence"":5},{""activity"":""on_bicycle"",""confidence"":5},{""activity"":""still"",""confidence"":5},{""activity"":""running"",""confidence"":5}]"
180,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,0,2,78,"[{""activity"":""on_foot"",""confidence"":78},{""activity"":""walking"",""confidence"":78},{""activity"":""running"",""confidence"":20},{""activity"":""unknown"",""confidence"":2}]"
181,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,0,2,80,"[{""activity"":""on_foot"",""confidence"":80},{""activity"":""walking"",""confidence"":80},{""activity"":""running"",""confidence"":19},{""activity"":""unknown"",""confidence"":1}]"
182,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab1,0,2,51,"[{""activity"":""on_foot"",""confidence"":51},{""activity"":""walking"",""confidence"":51},{""activity"":""unknown"",""confidence"":22},{""activity"":""running"",""confidence"":8},{""activity"":""in_vehicle"",""confidence"":5},{""activity"":""on_bicycle"",""confidence"":5},{""activity"":""still"",""confidence"":5}]"
183,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab2,0,2,95,"[{""activity"":""on_foot"",""confidence"":95},{""activity"":""walking"",""confidence"":95},{""activity"":""running"",""confidence"":3},{""activity"":""unknown"",""confidence"":2}]"
184,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab2,1,2,84,"[{""activity"":""on_foot"",""confidence"":84},{""activity"":""walking"",""confidence"":84},{""activity"":""running"",""confidence"":14},{""activity"":""unknown"",""confidence"":2}]"
185,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab2,1,2,50,"[{""activity"":""on_foot"",""confidence"":50},{""activity"":""walking"",""confidence"":50},{""activity"":""unknown"",""confidence"":21},{""activity"":""running"",""confidence"":10},{""activity"":""in_vehicle"",""confidence"":5},{""activity"":""on_bicycle"",""confidence"":5},{""activity"":""still"",""confidence"":5}]"
186,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab2,0,2,76,"[{""activity"":""on_foot"",""confidence"":76},{""activity"":""walking"",""confidence"":76},{""activity"":""running"",""confidence"":22},{""activity"":""unknown"",""confidence"":2}]"
187,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab2,1,5,100,"[{""activity"":""tilting"",""confidence"":100}]"
188,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab2,0,2,97,"[{""activity"":""on_foot"",""confidence"":97},{""activity"":""walking"",""confidence"":97},{""activity"":""unknown"",""confidence"":2},{""activity"":""on_bicycle"",""confidence"":1}]"
189,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab2,1,2,98,"[{""activity"":""on_foot"",""confidence"":98},{""activity"":""walking"",""confidence"":98},{""activity"":""unknown"",""confidence"":2}]"
190,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab2,1,2,98,"[{""activity"":""on_foot"",""confidence"":98},{""activity"":""walking"",""confidence"":98},{""activity"":""on_bicycle"",""confidence"":1},{""activity"":""unknown"",""confidence"":1}]"
